Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
50762972,Firekeeper's Daughter,Angeline Boulley,"Boulley, Angeline",,,,5,4.47,Henry Holt and Co. (BYR),Kindle Edition,496,2021,2021,4/12/2021,3/16/2021,,,read,,,,1,,,0,,,,,
45300567,The Maidens,Alex Michaelides,"Michaelides, Alex",,1250304458,9781250304452,0,3.85,Celadon Books,Hardcover,352,2021,2021,,4/8/2021,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
51122031,A Cuban Girl's Guide to Tea and Tomorrow,Laura Taylor Namey,"Namey, Laura Taylor",,,,5,3.87,Atheneum Books for Young Readers,Kindle Edition,320,2020,2020,4/4/2021,3/30/2021,,,read,,,,1,,,0,,,,,
45714854,The Hunting Wives,May Cobb,"Cobb, May",,0593101138,9780593101131,0,3.73,Berkley,Hardcover,368,2021,2021,,4/1/2021,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
52129515,Untamed,Glennon Doyle,"Doyle, Glennon",Glennon Doyle Melton,1984801252,9781984801258,2,4.05,The Dial Press,Hardcover,333,2020,2020,3/29/2021,3/24/2021,,,read,,,,1,,,0,,,,,
43594271,"Bringing Down the Duke (A League of Extraordinary Women, #1)",Evie Dunmore,"Dunmore, Evie",,,,0,3.99,Berkley,Kindle Edition,356,2019,2019,,3/18/2021,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
54268364,The Songbook of Benny Lament,Amy Harmon,"Harmon, Amy",,,,4,4.54,Lake Union Publishing,Kindle Edition,444,2021,2021,3/24/2021,2/15/2021,,,read,,,,1,,,0,,,,,
39507318,The Library Book,Susan Orlean,"Orlean, Susan",,1476740186,9781476740188,5,3.89,Simon & Schuster,Hardcover,317,2018,2018,3/20/2021,3/17/2021,,,read,,,,1,,,0,,,,,
27237358,Making Faces,Amy Harmon,"Harmon, Amy",,,,5,4.31,,ebook,405,2013,2013,,1/17/2018,,,read,,,,1,,,0,,,,,
25057849,Dancing to an Irish Reel,Claire Fullerton,"Fullerton, Claire",,0990304256,9780990304258,0,4.23,"Vinspire Publishing, LLC",Paperback,222,2015,2015,,3/18/2021,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
54303141,Big Summer,Jennifer Weiner,"Weiner, Jennifer",,1501133527,9781501133527,0,3.64,Washington Square Press,Paperback,384,2021,2020,,3/18/2021,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
26096202,"Wild Irish Roots: Margaret & Sean (Mystic Cove, #5)",Tricia O'Malley,"O'Malley, Tricia",,,,3,4.46,,Kindle Edition,316,2015,2018,3/14/2021,2/24/2021,,,read,,,,1,,,0,,,,,
55919704,Infinite Country,Patricia Engel,"Engel, Patricia",,,,3,4.04,Avid Reader Press,Kindle Edition,208,2021,2021,3/12/2021,3/4/2021,,,read,,,,1,,,0,,,,,
50607466,"The Henna Artist (The Henna Artist, #1)",Alka Joshi,"Joshi, Alka",,0778310205,9780778310204,4,4.22,Mira Books,Paperback,384,2020,2020,3/11/2021,5/5/2020,reese-bookclub,reese-bookclub (#13),read,,,,1,,,0,,,,,
32075853,Erotic Stories for Punjabi Widows,Balli Kaur Jaswal,"Jaswal, Balli Kaur",,0062645129,9780062645128,5,3.91,William Morrow,Hardcover,304,2017,2017,3/8/2021,3/6/2021,,,read,,,,1,,,0,,,,,
39863482,The Night Tiger,Yangsze Choo,"Choo, Yangsze",,1250175453,9781250175458,5,3.86,Flatiron Books,Hardcover,384,2019,2019,3/5/2021,2/4/2020,reese-bookclub,reese-bookclub (#8),read,,,,1,,,0,,,,,
48805345,The Girl from Widow Hills,Megan Miranda,"Miranda, Megan",,,,5,3.7,Simon & Schuster ,Kindle Edition,352,2020,2020,3/2/2021,2/27/2021,,,read,,,,1,,,0,,,,,
49374507,The Last Story of Mina Lee,Nancy Jooyoun Kim,"Kim, Nancy Jooyoun",,,,3,3.56,Park Row,Hardcover,384,2020,2020,3/2/2021,2/28/2021,,,read,,,,1,,,0,,,,,
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,,,0,4.71,O'Reilly,ebook,562,,2015,2/27/2021,12/7/2020,,,read,,,,1,,,0,,,,,
25177381,"Wild Irish Rebel (Mystic Cove, #4)",Tricia O'Malley,"O'Malley, Tricia",,,,4,4.43,Park & Stowell,Kindle Edition,274,2015,2015,2/24/2021,2/23/2021,,,read,,,,1,,,0,,,,,
43604960,"Born in Fire (Born In Trilogy, #1)",Nora Roberts,"Roberts, Nora",,0515114693,9780515114690,0,4.22,Berkley,Paperback,416,2019,1994,,2/23/2021,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
23696445,"Wild Irish Soul (Mystic Cove, #3)",Tricia O'Malley,"O'Malley, Tricia",,,,4,4.38,,Kindle Edition,282,2014,2014,2/22/2021,2/20/2021,,,read,,,,1,,,0,,,,,
42202117,"From Scratch: A Memoir of Love, Sicily, and Finding Home",Tembi Locke,"Locke, Tembi",,1501187651,9781501187650,5,3.88,Simon & Schuster,Hardcover,339,2019,2019,2/22/2021,2/3/2021,,,read,,,,1,,,0,,,,,
23356548,"Wild Irish Eyes (Mystic Cove, #2)",Tricia O'Malley,"O'Malley, Tricia",,,,4,4.29,Park & Stowell ,Kindle Edition,256,2014,2014,2/20/2021,2/19/2021,,,read,,,,1,,,0,,,,,
23256897,"Wild Irish Heart (Mystic Cove, #1)",Tricia O'Malley,"O'Malley, Tricia",,,,3,4.08,Park & Stowell,Kindle Edition,258,2014,2014,2/19/2021,2/18/2021,,,read,,,,1,,,0,,,,,
40396699,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,,,5,4.11,Celadon Books,Kindle Edition,325,2019,2019,2/18/2021,2/4/2020,,,read,,,,1,,,0,,,,,
56293848,Eliza Starts a Rumor,Jane L. Rosen,"Rosen, Jane L.",,0593102096,9780593102091,0,3.92,Berkley Books,Paperback,336,2021,2020,,2/18/2021,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
54908101,The Wife Upstairs,Rachel Hawkins,"Hawkins, Rachel",,,,3,3.8,St. Martin's Press,Kindle Edition,277,2021,2021,2/15/2021,2/9/2021,,,read,,,,1,,,0,,,,,
33986067,Deep Learning with Python,Francois Chollet,"Chollet, Francois",,1617294438,9781617294433,0,4.62,Manning,Paperback,350,2017,2018,2/14/2021,12/7/2020,,,read,,,,1,,,0,,,,,
53867504,Leave the World Behind,Rumaan Alam,"Alam, Rumaan",,,,5,3.27,Ecco,Kindle Edition,256,2020,2020,2/7/2021,1/18/2021,,,read,,,,1,,,0,,,,,
46038742,Outlawed,Anna North,"North, Anna",,,,4,3.6,Bloomsbury Publishing,Kindle Edition,272,2021,2021,2/2/2021,1/29/2021,,,read,,,,1,,,0,,,,,
54798488,The One Hundred Years of Lenni and Margot,Marianne Cronin,"Cronin, Marianne",,0063017504,9780063017504,0,4.47,Harper Perennial,Paperback,352,2021,2021,,2/1/2021,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
